axis0,axis1,axis2,axis3,axis4,axis5,label,filename,timestep,split
-0.3531447649002075,1.0013748407363892,8.543109893798828,12.74871826171875,-18.1884765625,-2.38800048828125,circle,circle.69md0drd.ingestion-cbb7cbcfb-cbvwl,32,training
-0.06344634294509888,1.1007342338562012,8.440159797668457,16.2811279296875,-22.52960205078125,-1.15203857421875,circle,circle.69md0drd.ingestion-cbb7cbcfb-cbvwl,33,training
0.19393034279346466,1.8315643072128296,8.544905662536621,21.05712890625,-25.38299560546875,-0.37384033203125,circle,circle.69md0drd.ingestion-cbb7cbcfb-cbvwl,34,training
0.4387374520301819,2.382829189300537,8.270770072937012,26.45111083984375,-28.29742431640625,-0.6256103515625,circle,circle.69md0drd.ingestion-cbb7cbcfb-cbvwl,35,training
0.6901286244392395,3.55479097366333,7.969698905944824,35.63690185546875,-32.7911376953125,-4.3792724609375,circle,circle.69md0drd.ingestion-cbb7cbcfb-cbvwl,36,training
0.8774749040603638,4.2311530113220215,7.803301811218262,43.70880126953125,-39.947509765625,-10.0860595703125,circle,circle.69md0drd.ingestion-cbb7cbcfb-cbvwl,37,training
0.5267243981361389,5.149928092956543,8.205527305603027,50.689697265625,-47.72186279296875,-25.1007080078125,circle,circle.69md0drd.ingestion-cbb7cbcfb-cbvwl,38,training
0.061052143573760986,4.306570529937744,8.762778282165527,57.6019287109375,-58.28857421875,-35.28594970703125,circle,circle.69md0drd.ingestion-cbb7cbcfb-cbvwl,39,training
-0.3034650683403015,4.159327030181885,10.47942066192627,64.9871826171875,-61.6455078125,-42.80853271484375,circle,circle.69md0drd.ingestion-cbb7cbcfb-cbvwl,40,training
-0.7332242727279663,3.153762102127075,12.142193794250488,70.85418701171875,-58.7158203125,-50.9033203125,circle,circle.69md0drd.ingestion-cbb7cbcfb-cbvwl,41,training
-1.0660183429718018,2.539649486541748,12.755109786987305,77.2552490234375,-52.83355712890625,-54.6417236328125,circle,circle.69md0drd.ingestion-cbb7cbcfb-cbvwl,42,training
